32298251	32298251
32298250	32298250
32298249	32298249
32298247	32298247
32298246	32298246
32298245	32298245
32298228	32298228
32298227	32298227
32297868	32297868
32297722	32297722
32297593	32297593
32296777	32296777
32296257	32296257
32295769	32295769
32294713	32294713
32294667	32294667
32294611	32294611
32294511	32294511
32294504	32294504
32294503	32294503
32294485	32294485
32294477	32294477
32294454	32294454
32294052	32294052
32294051	32294051
32293690	32293690
32293582	32293582
32293580	32293580
32293214	32293214
32293020	32293020
32293018	32293018
32292919	32292919
32292917	32292917
32292916	32292916
32292914	32292914
32292911	32292911
32292909	32292909
32292905	32292905
32292904	32292904
32292900	32292900
32292899	32292899
32292898	32292898
32292897	32292897
32292880	32292880
32292869	32292869
32292867	32292867
32292866	32292866
32292865	32292865
32292843	32292843
32292842	32292842
32292841	32292841
32292839	32292839
32292838	32292838
32292837	32292837
